,id_start,id_end,distance
180,1001408,1001410,11.1
181,1001408,1001412,26.7
182,1001408,1001414,44.9
183,1001408,1001416,58.099999999999994
184,1001408,1001418,71.69999999999999
185,1001408,1001420,84.6
186,1001408,1001422,94.19999999999999
187,1001408,1001424,105.6
188,1001408,1001426,124.19999999999999
189,1001408,1001428,140.0
190,1001408,1001430,148.6
191,1001408,1001432,157.6
192,1001408,1001434,165.5
193,1001408,1001436,169.5
194,1001408,1001436,169.5
195,1001408,1001438,178.5
196,1001408,1001438,178.5
197,1001408,1001440,188.5
198,1001408,1001442,192.4
199,1001408,1001488,196.9
200,1001408,1004356,200.9
201,1001408,1004354,202.9
202,1001408,1004355,204.9
203,1001408,1001444,205.6
204,1001408,1001446,212.2
205,1001408,1001448,221.79999999999998
206,1001408,1001450,237.49999999999997
207,1001408,1001452,247.39999999999998
208,1001408,1001454,258.7
209,1001408,1001456,272.3
210,1001408,1001458,281.2
211,1001408,1001460,286.3
212,1001408,1001460,286.3
213,1001408,1001461,299.1
214,1001408,1001462,304.20000000000005
215,1001408,1001464,330.90000000000003
216,1001408,1001466,339.40000000000003
217,1001408,1001468,350.1
218,1001408,1001470,360.70000000000005
219,1001408,1001437,0.0
220,1001410,1001400,78.69999999999999
221,1001410,1001402,69.0
222,1001410,1001404,48.800000000000004
223,1001410,1001406,32.8
224,1001410,1001408,11.1
225,1001410,1001412,15.6
226,1001410,1001414,33.8
227,1001410,1001416,47.0
228,1001410,1001418,60.6
229,1001410,1001420,73.5
230,1001410,1001422,83.1
231,1001410,1001424,94.5
232,1001410,1001426,113.1
233,1001410,1001428,128.9
234,1001410,1001430,137.5
235,1001410,1001432,146.5
236,1001410,1001434,154.4
237,1001410,1001436,158.4
238,1001410,1001436,158.4
239,1001410,1001438,167.4
240,1001410,1001438,167.4
241,1001410,1001440,177.4
242,1001410,1001442,181.3
243,1001410,1001488,185.8
244,1001410,1004356,189.8
245,1001410,1004354,191.8
246,1001410,1004355,193.8
247,1001410,1001444,194.5
248,1001410,1001446,201.1
249,1001410,1001448,210.7
250,1001410,1001450,226.39999999999998
251,1001410,1001452,236.29999999999998
252,1001410,1001454,247.6
253,1001410,1001456,261.2
254,1001410,1001458,270.09999999999997
255,1001410,1001460,275.2
256,1001410,1001460,275.2
257,1001410,1001461,288.0
258,1001410,1001462,293.1
259,1001410,1001464,319.8
260,1001410,1001466,328.3
261,1001410,1001468,339.0
262,1001410,1001470,349.6
263,1001410,1001437,0.0
264,1001412,1001400,94.29999999999998
265,1001412,1001402,84.6
266,1001412,1001404,64.4
267,1001412,1001406,48.4
268,1001412,1001408,26.7
269,1001412,1001410,15.6
270,1001412,1001414,18.2
271,1001412,1001416,31.4
272,1001412,1001418,45.0
273,1001412,1001420,57.9
274,1001412,1001422,67.5
275,1001412,1001424,78.9
276,1001412,1001426,97.5
277,1001412,1001428,113.3
278,1001412,1001430,121.89999999999999
279,1001412,1001432,130.89999999999998
280,1001412,1001434,138.79999999999998
281,1001412,1001436,142.79999999999998
282,1001412,1001436,142.79999999999998
283,1001412,1001438,151.79999999999998
284,1001412,1001438,151.79999999999998
285,1001412,1001440,161.79999999999998
286,1001412,1001442,165.7
287,1001412,1001488,170.2
288,1001412,1004356,174.2
289,1001412,1004354,176.2
290,1001412,1004355,178.2
291,1001412,1001444,178.89999999999998
292,1001412,1001446,185.49999999999997
293,1001412,1001448,195.09999999999997
294,1001412,1001450,210.79999999999995
295,1001412,1001452,220.69999999999996
296,1001412,1001454,231.99999999999997
297,1001412,1001456,245.59999999999997
298,1001412,1001458,254.49999999999997
299,1001412,1001460,259.59999999999997
300,1001412,1001460,259.59999999999997
301,1001412,1001461,272.4
302,1001412,1001462,277.5
303,1001412,1001464,304.2
304,1001412,1001466,312.7
305,1001412,1001468,323.4
306,1001412,1001470,334.0
307,1001412,1001437,0.0
308,1001414,1001400,112.49999999999999
309,1001414,1001402,102.8
310,1001414,1001404,82.60000000000001
311,1001414,1001406,66.6
312,1001414,1001408,44.9
313,1001414,1001410,33.8
314,1001414,1001412,18.2
315,1001414,1001416,13.2
316,1001414,1001418,26.799999999999997
317,1001414,1001420,39.699999999999996
318,1001414,1001422,49.3
319,1001414,1001424,60.699999999999996
320,1001414,1001426,79.3
321,1001414,1001428,95.1
322,1001414,1001430,103.69999999999999
323,1001414,1001432,112.69999999999999
324,1001414,1001434,120.6
325,1001414,1001436,124.6
326,1001414,1001436,124.6
327,1001414,1001438,133.6
328,1001414,1001438,133.6
329,1001414,1001440,143.6
330,1001414,1001442,147.5
331,1001414,1001488,152.0
332,1001414,1004356,156.0
333,1001414,1004354,158.0
334,1001414,1004355,160.0
335,1001414,1001444,160.7
336,1001414,1001446,167.29999999999998
337,1001414,1001448,176.89999999999998
338,1001414,1001450,192.59999999999997
339,1001414,1001452,202.49999999999997
340,1001414,1001454,213.79999999999998
341,1001414,1001456,227.39999999999998
342,1001414,1001458,236.29999999999998
343,1001414,1001460,241.39999999999998
344,1001414,1001460,241.39999999999998
345,1001414,1001461,254.2
346,1001414,1001462,259.3
347,1001414,1001464,286.0
348,1001414,1001466,294.5
349,1001414,1001468,305.2
350,1001414,1001470,315.8
351,1001414,1001437,0.0
352,1001416,1001400,125.69999999999999
353,1001416,1001402,116.0
354,1001416,1001404,95.80000000000001
355,1001416,1001406,79.8
356,1001416,1001408,58.099999999999994
357,1001416,1001410,47.0
358,1001416,1001412,31.4
359,1001416,1001414,13.2
360,1001416,1001418,13.6
361,1001416,1001420,26.5
362,1001416,1001422,36.1
363,1001416,1001424,47.5
364,1001416,1001426,66.1
365,1001416,1001428,81.89999999999999
366,1001416,1001430,90.49999999999999
367,1001416,1001432,99.49999999999999
368,1001416,1001434,107.39999999999999
369,1001416,1001436,111.39999999999999
370,1001416,1001436,111.39999999999999
371,1001416,1001438,120.39999999999999
372,1001416,1001438,120.39999999999999
373,1001416,1001440,130.39999999999998
374,1001416,1001442,134.29999999999998
375,1001416,1001488,138.79999999999998
376,1001416,1004356,142.79999999999998
377,1001416,1004354,144.79999999999998
378,1001416,1004355,146.79999999999998
379,1001416,1001444,147.49999999999997
380,1001416,1001446,154.09999999999997
381,1001416,1001448,163.69999999999996
382,1001416,1001450,179.39999999999995
383,1001416,1001452,189.29999999999995
384,1001416,1001454,200.59999999999997
385,1001416,1001456,214.19999999999996
